entry_time,exit_time,direction,entry_price,exit_price,pnl_points,pnl_dollars,exit_reason
2020-01-23 15:09:00+00:00,2020-01-23 15:10:00+00:00,Short,9216.0,9219.25,-5.25,-110.0,Time
2020-01-23 15:10:00+00:00,2020-01-23 15:12:00+00:00,Short,9219.25,9197.75,19.5,385.0,Time
2020-01-23 15:14:00+00:00,2020-01-23 15:15:00+00:00,Short,9222.5,9200.0,20.5,405.0,Time
2020-01-23 15:25:00+00:00,2020-01-23 15:27:00+00:00,Short,9220.0,9197.5,20.5,405.0,Time
2020-01-23 16:26:00+00:00,2020-01-23 16:28:00+00:00,Long,9178.75,9178.0,-2.75,-60.0,Time
2020-01-23 19:02:00+00:00,2020-01-23 19:04:00+00:00,Short,9237.0,9216.25,18.75,370.0,Time
2020-01-23 19:10:00+00:00,2020-01-23 19:11:00+00:00,Short,9237.0,9212.75,22.25,440.0,Time
2020-01-23 19:18:00+00:00,2020-01-23 19:19:00+00:00,Short,9236.25,9221.0,13.25,260.0,Time
2020-01-23 19:19:00+00:00,2020-01-23 19:21:00+00:00,Short,9240.0,9220.25,17.75,350.0,Time
2020-01-23 19:23:00+00:00,2020-01-23 19:24:00+00:00,Short,9239.0,9219.75,17.25,340.0,Time
2020-01-23 19:58:00+00:00,2020-01-23 19:59:00+00:00,Short,9242.0,9225.5,14.5,285.0,Time
2020-01-23 20:03:00+00:00,2020-01-23 20:05:00+00:00,Short,9245.5,9217.0,26.5,525.0,Time
2020-01-23 21:00:00+00:00,2020-01-23 21:01:00+00:00,Short,9252.5,9244.75,5.75,110.0,Time
2020-01-24 14:31:00+00:00,2020-01-24 14:33:00+00:00,Short,9302.25,9291.0,9.25,180.0,Time
2020-01-24 14:34:00+00:00,2020-01-24 14:35:00+00:00,Long,9264.0,9269.75,3.75,70.0,Time
2020-01-24 14:47:00+00:00,2020-01-24 14:49:00+00:00,Short,9259.25,9262.0,-4.75,-100.0,Time
2020-01-24 15:03:00+00:00,2020-01-24 15:04:00+00:00,Long,9258.0,9279.75,19.75,390.0,Time
2020-01-24 15:05:00+00:00,2020-01-24 15:07:00+00:00,Long,9256.0,9255.5,-2.5,-55.0,Time
2020-01-24 15:07:00+00:00,2020-01-24 15:09:00+00:00,Long,9255.5,9257.75,0.25,0.0,Time
2020-01-24 15:17:00+00:00,2020-01-24 15:19:00+00:00,Long,9254.25,9246.75,-9.5,-195.0,Time
2020-01-24 15:27:00+00:00,2020-01-24 15:28:00+00:00,Long,9241.0,9238.5,-4.5,-95.0,Time
2020-01-24 15:28:00+00:00,2020-01-24 15:29:00+00:00,Long,9238.5,9233.25,-7.25,-150.0,Time
2020-01-24 15:29:00+00:00,2020-01-24 15:59:00+00:00,Long,9233.25,9243.25,8.0,155.0,Time
2020-01-24 16:18:00+00:00,2020-01-24 16:19:00+00:00,Long,9227.75,9245.0,15.25,300.0,Time
