strategy,families,macd_filter,macd_timeframe,stop_atr_buffer,target_r,max_hold_bars,use_risk_controls,entry_mode,min_structure_rr,entry_wait_bars,score,trades,net_points,profit_factor,win_rate,avg_points,max_drawdown_points,worst_trade_points
structure_filter_selective_strict_macd1_cross_recent_5_stop1.25_r2.5_h30_rr2_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia,cross_recent_5,1,1.25,2.5,30,False,structure_filter,2.0,0,50.934089470132214,3,15.112225813616533,1.6792011601625407,0.6666666666666666,5.037408604538844,22.25,-22.25
pine_default_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,top_breakout_long+trend_ignition_long,cross_recent_5,1,1.25,2.5,30,False,next_open,0.0,0,-999950.7590282285,2,49.24097177149088,1.6779325472157087,0.5,24.62048588574544,72.63402822850912,-72.63402822850912
structure_filter_long_bias_macd1_cross_recent_5_stop1.25_r2.5_h30_rr2.5_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long,cross_recent_5,1,1.25,2.5,30,False,structure_filter,2.5,0,-999962.6377741864,2,37.36222581361653,999.0,1.0,18.681112906808266,0.0,6.139161670089379
structure_filter_selective_strict_macd1_cross_recent_5_stop1.25_r2.5_h30_rr2.5_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia,cross_recent_5,1,1.25,2.5,30,False,structure_filter,2.5,0,-999962.6377741864,2,37.36222581361653,999.0,1.0,18.681112906808266,0.0,6.139161670089379
reversal_impulse_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,reversal_impulse_long+reversal_impulse_short,cross_recent_5,1,1.25,2.5,30,False,next_open,0.0,0,-1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0
fast_boundary_reversal_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,fast_reversal_long+fast_reversal_short,cross_recent_5,1,1.25,2.5,30,False,next_open,0.0,0,-1000015.7980484046,22,-15.798048404674773,0.9395813600851545,0.5,-0.7180931093033988,160.84594821896826,-54.47370331392085
trend_ignition_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,trend_ignition_long+trend_ignition_short,cross_recent_5,1,1.25,2.5,30,False,next_open,0.0,0,-1000041.0893093902,1,-41.089309390165,0.0,0.0,-41.089309390165,41.089309390165,-41.089309390165
structure_filter_long_bias_macd1_cross_recent_5_stop1.25_r2.5_h30_rr1.5_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long,cross_recent_5,1,1.25,2.5,30,False,structure_filter,1.5,0,-1000076.9250713612,6,-76.92507136120184,0.38107052683749654,0.5,-12.820845226866973,124.28729717481838,-86.73916291086789
structure_filter_selective_strict_macd1_cross_recent_5_stop1.25_r2.5_h30_rr1.5_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia,cross_recent_5,1,1.25,2.5,30,False,structure_filter,1.5,0,-1000076.9250713612,6,-76.92507136120184,0.38107052683749654,0.5,-12.820845226866973,124.28729717481838,-86.73916291086789
short_bias_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,bottom_breakdown_short+top_reject_short+trend_pullback_short+trend_transition_short+reversal_impulse_short,cross_recent_5,1,1.25,2.5,30,False,next_open,0.0,0,-1000551.0312241878,198,-551.0312241878419,0.8012571727078851,0.43434343434343436,-2.782985980746676,700.3315389712297,-88.96885781471428
