strategy,period,trades,start_equity,end_equity,net_profit,return,profit_factor,win_rate,max_drawdown
Lightglow V2 Non-Kill Zone,2025-08,123,-26770.5,-26942.5,-172.0,-0.00688,0.8566069195498124,0.4796747967479675,255.0
Lightglow V2 Non-Kill Zone,2025-09,429,-26942.5,-28561.0,-1618.5,-0.06474,0.385885031303358,0.3006993006993007,1660.0
Lightglow V2 Non-Kill Zone,2025-10,286,-28561.0,-28168.5,392.5,0.0157,1.1334126444595514,0.513986013986014,397.5
Lightglow V2 Non-Kill Zone,2025-11,724,-28168.5,-30954.5,-2786.0,-0.11144,0.6859075535512965,0.4530386740331492,2891.5
Lightglow V2 Non-Kill Zone,2025-12,350,-30954.5,-31474.5,-520.0,-0.0208,0.7900686314089624,0.4342857142857143,938.0
Lightglow V2 Non-Kill Zone,2026-01,344,-31474.5,-32310.0,-835.5,-0.03342,0.7253903040262941,0.4476744186046512,845.0
Lightglow V2 Non-Kill Zone,2026-02,602,-32310.0,-32908.5,-598.5,-0.02394,0.9013922069363209,0.4867109634551495,851.5
Lightglow V2 Non-Kill Zone,2026-03,1022,-32908.5,-35232.0,-2323.5,-0.09294,0.7902694408087737,0.45792563600782776,2501.0
Lightglow V2 Non-Kill Zone,2026-04,381,-35232.0,-36851.5,-1619.5,-0.06478,0.6464359786049558,0.4540682414698163,1766.5
Premium/Discount Long 1m,2010-06,653,25000.0,23046.0,-1954.0,-0.07816,0.0249500998003992,0.05972434915773354,1954.0
Premium/Discount Long 1m,2010-07,889,23046.0,20452.0,-2594.0,-0.10376,0.02352719744024092,0.04049493813273341,2594.5
Premium/Discount Long 1m,2010-08,924,20452.0,17679.0,-2773.0,-0.11092,0.010879258070269307,0.017316017316017316,2775.5
Premium/Discount Long 1m,2010-09,819,17679.0,15254.0,-2425.0,-0.097,0.008788064582055999,0.014652014652014652,2425.0
Premium/Discount Long 1m,2010-10,684,15254.0,13185.5,-2068.5,-0.08274,0.018738140417457305,0.033625730994152045,2068.5
Premium/Discount Long 1m,2010-11,834,13185.5,10594.5,-2591.0,-0.10364,0.007849894696534559,0.014388489208633094,2591.0
Premium/Discount Long 1m,2010-12,576,10594.5,8830.5,-1764.0,-0.07056,0.009823182711198428,0.020833333333333332,1764.0
Premium/Discount Long 1m,2011-01,652,8830.5,6809.0,-2021.5,-0.08086,0.006389776357827476,0.013803680981595092,2021.5
Premium/Discount Long 1m,2011-02,696,6809.0,4658.5,-2150.5,-0.08602,0.009214466712739,0.01867816091954023,2150.5
Premium/Discount Long 1m,2011-03,812,4658.5,2170.0,-2488.5,-0.09954,0.025455257489719992,0.03940886699507389,2488.5
Premium/Discount Long 1m,2011-04,688,2170.0,110.5,-2059.5,-0.08238,0.00890279114533205,0.0188953488372093,2059.5
Premium/Discount Long 1m,2011-05,815,110.5,-2368.5,-2479.0,-0.09916,0.008994603238057166,0.023312883435582823,2479.0
Premium/Discount Long 1m,2011-06,1021,-2368.5,-5457.5,-3089.0,-0.12356,0.008505857807735516,0.01665034280117532,3089.0
Premium/Discount Long 1m,2011-07,721,-5457.5,-7658.0,-2200.5,-0.08802,0.01609657947686117,0.03467406380027739,2200.5
Premium/Discount Long 1m,2011-08,967,-7658.0,-10703.5,-3045.5,-0.12182,0.09021657953696789,0.10651499482936919,3045.5
Premium/Discount Long 1m,2011-09,1134,-10703.5,-14087.0,-3383.5,-0.13534,0.04299250459623816,0.07848324514991181,3383.5
Premium/Discount Long 1m,2011-10,951,-14087.0,-16911.0,-2824.0,-0.11296,0.045784760939347864,0.06414300736067298,2824.0
Premium/Discount Long 1m,2011-11,1047,-16911.0,-20183.5,-3272.5,-0.1309,0.030657582938388626,0.050620821394460364,3272.5
Premium/Discount Long 1m,2011-12,747,-20183.5,-22528.0,-2344.5,-0.09378,0.014087468460891506,0.025435073627844713,2344.5
Premium/Discount Long 1m,2012-01,657,-22528.0,-24494.5,-1966.5,-0.07866,0.00757002271006813,0.0121765601217656,1966.5
Premium/Discount Long 1m,2012-02,710,-24494.5,-26581.0,-2086.5,-0.08346,0.012307692307692308,0.02112676056338028,2086.5
Premium/Discount Long 1m,2012-03,761,-26581.0,-28862.0,-2281.0,-0.09124,0.011270047680970958,0.018396846254927726,2281.0
Premium/Discount Long 1m,2012-04,744,-28862.0,-31160.5,-2298.5,-0.09194,0.025439898240407037,0.03494623655913978,2298.5
Premium/Discount Long 1m,2012-05,1029,-31160.5,-34160.5,-3000.0,-0.12,0.031945788964181994,0.05053449951409135,3000.0
Premium/Discount Long 1m,2012-06,848,-34160.5,-36698.5,-2538.0,-0.10152,0.016469676419298585,0.036556603773584904,2538.0
Premium/Discount Long 1m,2012-07,843,-36698.5,-39157.5,-2459.0,-0.09836,0.01718625099920064,0.03440094899169632,2459.0
Premium/Discount Long 1m,2012-08,728,-39157.5,-41268.5,-2111.0,-0.08444,0.010546051089758613,0.013736263736263736,2111.0
Premium/Discount Long 1m,2012-09,805,-41268.5,-43639.0,-2370.5,-0.09482,0.012291666666666666,0.02608695652173913,2370.5
Premium/Discount Long 1m,2012-10,1087,-43639.0,-46971.5,-3332.5,-0.1333,0.017396432257113372,0.02483900643974241,3332.5
Premium/Discount Long 1m,2012-11,832,-46971.5,-49489.0,-2517.5,-0.1007,0.02099941668286992,0.028846153846153848,2517.5
