candidate,filter,filter_conditions,feature_set,direction,trades,net_points,win_rate,payoff_ratio_r,avg_win_points,avg_loss_points,profit_factor,avg_points,max_drawdown_points,net_to_drawdown,folds,positive_fold_rate,min_fold_net_points,baseline_trades,baseline_net_points,baseline_win_rate,baseline_payoff_ratio_r,net_improvement,retained_trade_rate,evidence_type,robust_score
bar_best_mean_reversion_lb10_thr1_hold30_long_us_late,vwap_above,vwap_sideeqabove,bar_best_mean_reversion_lb10_thr1_hold30_long_us_late + vwap_above,long,188,2090.0,0.5531914893617021,1.3657342657342657,49.18269230769231,36.01190476190476,1.690909090909091,11.117021276595745,663.75,3.1487758945386064,2,1.0,343.25,369,4483.875,0.5284552845528455,1.4234897632487993,-2393.875,0.5094850948509485,state_filtered,14.953938816722804
bar_best_support_reclaim_lb30_thr0.001_hold30_long_us_late,vwap_distance_low_mid,vwap_distance_abs_rankle0.67,bar_best_support_reclaim_lb30_thr0.001_hold30_long_us_late + vwap_distance_low_mid,long,180,2567.75,0.55,1.439952781486576,60.06691919191919,41.714506172839506,1.759942288483593,14.265277777777778,713.125,3.6007011393514463,5,0.8,-123.125,427,1626.625,0.5245901639344263,1.0558944636897738,941.125,0.4215456674473068,state_filtered,14.907492861650088
bar_best_support_reclaim_lb30_thr0.0002_hold30_long_us_late,vwap_distance_low_mid,vwap_distance_abs_rankle0.67,bar_best_support_reclaim_lb30_thr0.0002_hold30_long_us_late + vwap_distance_low_mid,long,180,2567.75,0.55,1.439952781486576,60.06691919191919,41.714506172839506,1.759942288483593,14.265277777777778,713.125,3.6007011393514463,5,0.8,-123.125,427,1666.375,0.5269320843091335,1.0500381659966416,901.375,0.4215456674473068,state_filtered,14.907492861650088
bar_best_support_reclaim_lb30_thr0.0005_hold30_long_us_late,vwap_distance_low_mid,vwap_distance_abs_rankle0.67,bar_best_support_reclaim_lb30_thr0.0005_hold30_long_us_late + vwap_distance_low_mid,long,180,2567.75,0.55,1.439952781486576,60.06691919191919,41.714506172839506,1.759942288483593,14.265277777777778,713.125,3.6007011393514463,5,0.8,-123.125,427,1666.375,0.5269320843091335,1.0500381659966416,901.375,0.4215456674473068,state_filtered,14.907492861650088
bar_best_momentum_lb30_thr0.0006_hold60_long_us_rth,momentum_60_positive_and_entry_body_low_mid,momentum_60gt0.0;entry_body_rankle0.67,bar_best_momentum_lb30_thr0.0006_hold60_long_us_rth + momentum_60_positive_and_entry_body_low_mid,long,86,1276.0,0.5465116279069767,1.4312548251173514,64.60372340425532,45.13782051282051,1.7248455584747568,14.837209302325581,458.375,2.783746932097082,2,1.0,316.625,540,2030.5,0.5444444444444444,0.9248291559701761,-754.5,0.15925925925925927,state_filtered,14.903732099555022
bar_best_support_reclaim_lb15_thr0.0002_hold30_long_us_late,trend_120_up_and_range_30_low_mid,trend_side_120equp;range_30_rankle0.67,bar_best_support_reclaim_lb15_thr0.0002_hold30_long_us_late + trend_120_up_and_range_30_low_mid,long,166,2490.25,0.5542168674698795,1.3010071798962903,70.90489130434783,54.5,1.6174683858170096,15.001506024096386,640.875,3.885703140237956,4,1.0,192.125,496,3576.75,0.5483870967741935,1.0560995405445888,-1086.5,0.3346774193548387,state_filtered,14.822497585670261
bar_best_support_reclaim_lb15_thr0.0005_hold30_long_us_late,trend_120_up_and_range_30_low_mid,trend_side_120equp;range_30_rankle0.67,bar_best_support_reclaim_lb15_thr0.0005_hold30_long_us_late + trend_120_up_and_range_30_low_mid,long,166,2490.25,0.5542168674698795,1.3010071798962903,70.90489130434783,54.5,1.6174683858170096,15.001506024096386,640.875,3.885703140237956,4,1.0,192.125,496,3576.75,0.5483870967741935,1.0560995405445888,-1086.5,0.3346774193548387,state_filtered,14.822497585670261
bar_best_support_reclaim_lb15_thr0.001_hold30_long_us_late,trend_120_up_and_range_30_low_mid,trend_side_120equp;range_30_rankle0.67,bar_best_support_reclaim_lb15_thr0.001_hold30_long_us_late + trend_120_up_and_range_30_low_mid,long,166,2490.25,0.5542168674698795,1.3010071798962903,70.90489130434783,54.5,1.6174683858170096,15.001506024096386,640.875,3.885703140237956,4,1.0,192.125,496,3576.75,0.5483870967741935,1.0560995405445888,-1086.5,0.3346774193548387,state_filtered,14.822497585670261
bar_best_support_reclaim_lb60_thr0.001_hold30_long_us_late,return_1m_positive,return_1m_sideeqpositive,bar_best_support_reclaim_lb60_thr0.001_hold30_long_us_late + return_1m_positive,long,111,1354.625,0.5765765765765766,1.3717115800432451,45.5546875,33.21010638297872,1.8678625770801633,12.20382882882883,658.125,2.058309591642925,4,0.75,-142.375,215,675.625,0.5581395348837209,0.9306164420631056,679.0,0.5162790697674419,state_filtered,14.722140949949257
bar_best_support_reclaim_lb60_thr0.0005_hold30_long_us_late,return_1m_positive,return_1m_sideeqpositive,bar_best_support_reclaim_lb60_thr0.0005_hold30_long_us_late + return_1m_positive,long,111,1354.625,0.5765765765765766,1.3717115800432451,45.5546875,33.21010638297872,1.8678625770801633,12.20382882882883,658.125,2.058309591642925,4,0.75,-142.375,215,675.625,0.5581395348837209,0.9306164420631056,679.0,0.5162790697674419,state_filtered,14.722140949949257
