strategy,families,macd_filter,macd_timeframe,stop_atr_buffer,target_r,max_hold_bars,use_risk_controls,score,trades,net_points,profit_factor,win_rate,avg_points,max_drawdown_points,worst_trade_points
boundary_reversal_macd1_cross_recent_5_stop1.25_r1.2_h30_norisk,bottom_reclaim_long+top_reject_short,cross_recent_5,1,1.25,1.2,30,False,186.90150483250858,26,139.10391038245143,1.4570335535650514,0.5769230769230769,5.350150399325055,66.82037992598998,-54.47370331392085
phase_plus_fast_macd1_cross_recent_5_stop1.25_r1.2_h30_norisk,phase_up_breakout_long+phase_up_pullback_long+phase_down_breakdown_short+phase_down_pullback_short+fast_reversal_long+fast_reversal_short,cross_recent_5,1,1.25,1.2,30,False,184.00839979357113,493,604.1511067865576,1.1179084829253896,0.4766734279918864,1.225458634455492,518.027107683869,-84.30016943114606
phase_short_macd1_cross_recent_5_stop1.25_r1.8_h30_norisk,phase_down_breakdown_short+phase_down_pullback_short,cross_recent_5,1,1.25,1.8,30,False,182.66960090909953,203,505.79846906154125,1.231279808729693,0.458128078817734,2.4916180741947844,469.3811921682791,-86.15001208645481
boundary_reversal_macd1_cross_recent_5_stop1.25_r1.8_h30_norisk,bottom_reclaim_long+top_reject_short,cross_recent_5,1,1.25,1.8,30,False,158.23517185363866,26,113.64868722356914,1.3733990168715162,0.5769230769230769,4.371103354752659,66.82037992598998,-54.47370331392085
phase_short_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,phase_down_breakdown_short+phase_down_pullback_short,cross_recent_5,1,1.25,2.5,30,False,156.8040665232254,203,391.46529553692744,1.1790001833024082,0.458128078817734,1.9284004706252584,458.10651539252285,-86.15001208645481
phase_short_macd1_cross_recent_5_stop1.25_r1.2_h30_norisk,phase_down_breakdown_short+phase_down_pullback_short,cross_recent_5,1,1.25,1.2,30,False,151.28366037491497,205,390.3119993180735,1.1746191760395217,0.4585365853658537,1.9039609722832853,487.08870548571576,-86.15001208645481
screenshot_reversal_macd1_cross_recent_5_stop1.25_r1.2_h30_norisk,fast_reversal_long+fast_reversal_short+bottom_reclaim_long+top_reject_short,cross_recent_5,1,1.25,1.2,30,False,102.22354046742575,32,94.4107923215488,1.2554350480242071,0.5,2.9503372600484,102.87530247405084,-54.47370331392085
screenshot_reversal_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,fast_reversal_long+fast_reversal_short+bottom_reclaim_long+top_reject_short,cross_recent_5,1,1.25,2.5,30,False,96.31662040972854,32,89.5218491170308,1.2422076678537237,0.5,2.7975577849072124,107.04987328663628,-54.47370331392085
screenshot_reversal_macd1_cross_recent_5_stop1.25_r1.8_h30_norisk,fast_reversal_long+fast_reversal_short+bottom_reclaim_long+top_reject_short,cross_recent_5,1,1.25,1.8,30,False,75.93737226448566,32,60.28525886283387,1.1631060137736497,0.5,1.8839143394635585,104.10932122556915,-54.47370331392085
boundary_continuation_macd1_cross_recent_5_stop1.25_r1.2_h30_norisk,bottom_breakdown_short+top_breakout_long,cross_recent_5,1,1.25,1.2,30,False,63.84973129020234,5,59.85832542015851,1.5073416400357962,0.6,11.971665084031702,73.63899989160927,-72.63402822850912
boundary_continuation_macd1_cross_recent_5_stop1.25_r1.8_h30_norisk,bottom_breakdown_short+top_breakout_long,cross_recent_5,1,1.25,1.8,30,False,63.84973129020234,5,59.85832542015851,1.5073416400357962,0.6,11.971665084031702,73.63899989160927,-72.63402822850912
boundary_continuation_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,bottom_breakdown_short+top_breakout_long,cross_recent_5,1,1.25,2.5,30,False,63.84973129020234,5,59.85832542015851,1.5073416400357962,0.6,11.971665084031702,73.63899989160927,-72.63402822850912
fast_boundary_reversal_macd1_cross_recent_5_stop1.25_r1.2_h30_norisk,fast_reversal_long+fast_reversal_short,cross_recent_5,1,1.25,1.2,30,False,60.72515588285505,22,50.61209374621467,1.1935627609853434,0.5,2.3005497157370303,140.9002633633063,-54.47370331392085
pine_default_macd1_cross_recent_5_stop1.25_r1.2_h30_norisk,top_breakout_long+trend_ignition_long,cross_recent_5,1,1.25,1.2,30,False,-999950.7590282285,2,49.24097177149088,1.6779325472157087,0.5,24.62048588574544,72.63402822850912,-72.63402822850912
pine_default_macd1_cross_recent_5_stop1.25_r1.8_h30_norisk,top_breakout_long+trend_ignition_long,cross_recent_5,1,1.25,1.8,30,False,-999950.7590282285,2,49.24097177149088,1.6779325472157087,0.5,24.62048588574544,72.63402822850912,-72.63402822850912
