strategy,families,macd_filter,macd_timeframe,stop_atr_buffer,target_r,max_hold_bars,use_risk_controls,score,trades,net_points,profit_factor,win_rate,avg_points,max_drawdown_points,worst_trade_points
selective_bidirectional_session_macd60_hist_deceleration_stop0.8_r1.8_h60_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia_rth,hist_deceleration,60,0.8,1.8,60,False,65.41991805035735,44,73.25144071486648,1.1473025515617874,0.5454545454545454,1.6648054707924198,195.4827485557871,-127.94316967158011
selective_bidirectional_session_macd60_hist_deceleration_stop0.8_r1.8_h60_risk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia_rth,hist_deceleration,60,0.8,1.8,60,True,65.41991805035735,44,73.25144071486648,1.1473025515617874,0.5454545454545454,1.6648054707924198,195.4827485557871,-127.94316967158011
screenshot_reversal_macd5_hist_deceleration_stop0.8_r2.5_h30_norisk,fast_reversal_long+fast_reversal_short+bottom_reclaim_long+top_reject_short,hist_deceleration,5,0.8,2.5,30,False,65.3136633557811,13,24.389463591858657,1.2085161021817405,0.6153846153846154,1.8761125839891275,53.65331613476155,-53.65331613476155
screenshot_reversal_macd5_hist_deceleration_stop0.8_r2.5_h30_risk,fast_reversal_long+fast_reversal_short+bottom_reclaim_long+top_reject_short,hist_deceleration,5,0.8,2.5,30,True,65.3136633557811,13,24.389463591858657,1.2085161021817405,0.6153846153846154,1.8761125839891275,53.65331613476155,-53.65331613476155
selective_bidirectional_session_macd5_hist_deceleration_stop1.25_r1.2_h30_risk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia_rth,hist_deceleration,5,1.25,1.2,30,True,65.24579872656979,177,15.225737018103246,1.0081410924631526,0.4858757062146893,0.08602111309662851,305.6963890699444,-79.90994064663028
selective_bidirectional_strict_short_macd5_cross_recent_5_stop0.8_r2.5_h60_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia,cross_recent_5,5,0.8,2.5,60,False,65.09777834535356,90,19.09835189210935,1.0187387653374824,0.4888888888888889,0.2122039099123261,293.69808700995054,-127.94316967158011
selective_bidirectional_strict_short_macd5_cross_recent_5_stop0.8_r2.5_h60_risk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia,cross_recent_5,5,0.8,2.5,60,True,65.09777834535356,90,19.09835189210935,1.0187387653374824,0.4888888888888889,0.2122039099123261,293.69808700995054,-127.94316967158011
long_bias_macd60_hist_deceleration_stop1.25_r1.2_h60_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long,hist_deceleration,60,1.25,1.2,60,False,65.0351319005041,29,75.44384116210858,1.1910023011066544,0.5172413793103449,2.601511764210641,196.60006478674768,-142.95807761184187
long_bias_macd60_hist_deceleration_stop1.25_r1.2_h60_risk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long,hist_deceleration,60,1.25,1.2,60,True,65.0351319005041,29,75.44384116210858,1.1910023011066544,0.5172413793103449,2.601511764210641,196.60006478674768,-142.95807761184187
smc_ob_retest_macd5_hist_repair_stop1.25_r1.2_h60_norisk,smc_ob_retest_long+smc_ob_retest_short,hist_repair,5,1.25,1.2,60,False,65.03044578922356,80,21.312164258237317,1.0243508605172698,0.4375,0.26640205322796645,221.8615208100964,-47.65452364914745
smc_ob_retest_macd5_hist_repair_stop1.25_r1.8_h60_norisk,smc_ob_retest_long+smc_ob_retest_short,hist_repair,5,1.25,1.8,60,False,65.03044578922356,80,21.312164258237317,1.0243508605172698,0.4375,0.26640205322796645,221.8615208100964,-47.65452364914745
smc_ob_retest_macd5_hist_repair_stop1.25_r2.5_h60_norisk,smc_ob_retest_long+smc_ob_retest_short,hist_repair,5,1.25,2.5,60,False,65.03044578922356,80,21.312164258237317,1.0243508605172698,0.4375,0.26640205322796645,221.8615208100964,-47.65452364914745
smc_long_bias_macd5_cross_recent_5_stop0.8_r2.5_h30_risk,smc_discount_choch_long+smc_bos_fvg_long+smc_ob_retest_long+smc_trend_transition_long+smc_trend_pullback_long,cross_recent_5,5,0.8,2.5,30,True,65.00016769113351,115,18.595801705170743,1.0174429841579415,0.40869565217391307,0.16170262352322384,323.77860321422486,-78.6891877779708
smc_trend_filtered_macd1_hist_deceleration_stop0.8_r1.8_h30_risk,smc_trend_transition_long+smc_trend_pullback_long+smc_trend_transition_short+smc_trend_pullback_short,hist_deceleration,1,0.8,1.8,30,True,64.82964457662746,183,19.84122420195854,1.0135800401427881,0.453551912568306,0.10842199017463683,397.9852189949088,-74.48600773532962
boundary_reversal_macd5_hist_repair_stop1.25_r1.2_h30_norisk,bottom_reclaim_long+top_reject_short,hist_repair,5,1.25,1.2,30,False,64.77921706404047,10,28.655693215732754,1.2639990345868812,0.6,2.8655693215732754,70.31739444519553,-62.45830646056493
boundary_reversal_macd5_hist_repair_stop1.25_r1.2_h30_risk,bottom_reclaim_long+top_reject_short,hist_repair,5,1.25,1.2,30,True,64.77921706404047,10,28.655693215732754,1.2639990345868812,0.6,2.8655693215732754,70.31739444519553,-62.45830646056493
phase_plus_fast_macd60_trend_stop1.25_r1.8_h60_norisk,phase_up_breakout_long+phase_up_pullback_long+phase_down_breakdown_short+phase_down_pullback_short+fast_reversal_long+fast_reversal_short,trend,60,1.25,1.8,60,False,64.63185431667785,526,36.0559814447879,1.0056018877852793,0.4752851711026616,0.06854749324104165,765.2088627591729,-87.6964209756843
phase_plus_fast_macd60_trend_hist_stop1.25_r1.8_h60_norisk,phase_up_breakout_long+phase_up_pullback_long+phase_down_breakdown_short+phase_down_pullback_short+fast_reversal_long+fast_reversal_short,trend_hist,60,1.25,1.8,60,False,64.63185431667785,526,36.0559814447879,1.0056018877852793,0.4752851711026616,0.06854749324104165,765.2088627591729,-87.6964209756843
phase_trend_macd60_hist_deceleration_stop1.25_r2.5_h60_norisk,phase_up_breakout_long+phase_up_pullback_long+phase_down_breakdown_short+phase_down_pullback_short,hist_deceleration,60,1.25,2.5,60,False,64.52702098539689,59,33.777810637900984,1.044493307610472,0.5423728813559322,0.5725052650491692,320.861955791308,-142.95807761184187
phase_plus_fast_macd1_hist_deceleration_stop1.25_r1.2_h60_norisk,phase_up_breakout_long+phase_up_pullback_long+phase_down_breakdown_short+phase_down_pullback_short+fast_reversal_long+fast_reversal_short,hist_deceleration,1,1.25,1.2,60,False,64.46436157149174,893,34.30598237984668,1.0032223730109227,0.4748040313549832,0.03841655361684959,724.6637279770366,-87.6964209756843
screenshot_reversal_macd1_trend_stop1.25_r2.5_h60_risk,fast_reversal_long+fast_reversal_short+bottom_reclaim_long+top_reject_short,trend,1,1.25,2.5,60,True,64.45873864279578,49,97.69217087899233,1.141479925129979,0.4489795918367347,1.9937177730406597,280.48544808867155,-62.45830646056493
screenshot_reversal_macd1_trend_hist_stop1.25_r2.5_h60_risk,fast_reversal_long+fast_reversal_short+bottom_reclaim_long+top_reject_short,trend_hist,1,1.25,2.5,60,True,64.45873864279578,49,97.69217087899233,1.141479925129979,0.4489795918367347,1.9937177730406597,280.48544808867155,-62.45830646056493
boundary_reversal_macd5_trend_stop1.25_r1.2_h60_norisk,bottom_reclaim_long+top_reject_short,trend,5,1.25,1.2,60,False,64.39470345434455,26,41.98320320145649,1.139180098487223,0.4230769230769231,1.6147385846714035,91.92976878478294,-40.099917821455165
boundary_reversal_macd5_trend_stop1.25_r1.2_h60_risk,bottom_reclaim_long+top_reject_short,trend,5,1.25,1.2,60,True,64.39470345434455,26,41.98320320145649,1.139180098487223,0.4230769230769231,1.6147385846714035,91.92976878478294,-40.099917821455165
boundary_reversal_macd5_trend_hist_stop1.25_r1.2_h60_norisk,bottom_reclaim_long+top_reject_short,trend_hist,5,1.25,1.2,60,False,64.39470345434455,26,41.98320320145649,1.139180098487223,0.4230769230769231,1.6147385846714035,91.92976878478294,-40.099917821455165
boundary_reversal_macd5_trend_hist_stop1.25_r1.2_h60_risk,bottom_reclaim_long+top_reject_short,trend_hist,5,1.25,1.2,60,True,64.39470345434455,26,41.98320320145649,1.139180098487223,0.4230769230769231,1.6147385846714035,91.92976878478294,-40.099917821455165
smc_long_bias_macd5_hist_deceleration_stop1.25_r1.2_h60_risk,smc_discount_choch_long+smc_bos_fvg_long+smc_ob_retest_long+smc_trend_transition_long+smc_trend_pullback_long,hist_deceleration,5,1.25,1.2,60,True,64.34227738387875,171,10.327810014903662,1.0060363068115024,0.4853801169590643,0.06039654979475825,243.45518468672162,-81.22657366194835
selective_bidirectional_session_macd60_cross_recent_5_stop1.25_r2.5_h30_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia_rth,cross_recent_5,60,1.25,2.5,30,False,64.26774135601775,11,19.131728812826623,1.1936650210920647,0.6363636363636364,1.7392480738933294,42.40489952019925,-42.40489952019925
selective_bidirectional_session_macd60_cross_recent_5_stop1.25_r2.5_h30_risk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia_rth,cross_recent_5,60,1.25,2.5,30,True,64.26774135601775,11,19.131728812826623,1.1936650210920647,0.6363636363636364,1.7392480738933294,42.40489952019925,-42.40489952019925
phase_long_macd5_trend_stop0.8_r1.2_h30_risk,phase_up_breakout_long+phase_up_pullback_long,trend,5,0.8,1.2,30,True,64.16707765877305,181,9.14771988621942,1.0074505700574152,0.4861878453038674,0.05053988887414044,225.596852609935,-42.056426734015986
phase_long_macd5_trend_hist_stop0.8_r1.2_h30_risk,phase_up_breakout_long+phase_up_pullback_long,trend_hist,5,0.8,1.2,30,True,64.16707765877305,181,9.14771988621942,1.0074505700574152,0.4861878453038674,0.05053988887414044,225.596852609935,-42.056426734015986
selective_bidirectional_session_macd60_hist_deceleration_stop1.25_r2.5_h60_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia_rth,hist_deceleration,60,1.25,2.5,60,False,64.07642986492101,44,81.79227726042882,1.1473868868151043,0.5454545454545454,1.858915392282473,236.21212291506527,-142.95807761184187
selective_bidirectional_session_macd60_hist_deceleration_stop1.25_r2.5_h60_risk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia_rth,hist_deceleration,60,1.25,2.5,60,True,64.07642986492101,44,81.79227726042882,1.1473868868151043,0.5454545454545454,1.858915392282473,236.21212291506527,-142.95807761184187
selective_bidirectional_session_macd60_trend_stop1.25_r1.8_h30_risk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia_rth,trend,60,1.25,1.8,30,True,63.88054890267507,161,12.257397535660857,1.008193628241052,0.4658385093167702,0.07613290394820409,302.3228641368187,-88.96885781471428
selective_bidirectional_session_macd60_trend_hist_stop1.25_r1.8_h30_risk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia_rth,trend_hist,60,1.25,1.8,30,True,63.88054890267507,161,12.257397535660857,1.008193628241052,0.4658385093167702,0.07613290394820409,302.3228641368187,-88.96885781471428
boundary_continuation_macd1_cross_recent_5_stop1.25_r1.2_h30_norisk,bottom_breakdown_short+top_breakout_long,cross_recent_5,1,1.25,1.2,30,False,63.84973129020234,5,59.85832542015851,1.5073416400357962,0.6,11.971665084031702,73.63899989160927,-72.63402822850912
boundary_continuation_macd1_cross_recent_5_stop1.25_r1.2_h30_risk,bottom_breakdown_short+top_breakout_long,cross_recent_5,1,1.25,1.2,30,True,63.84973129020234,5,59.85832542015851,1.5073416400357962,0.6,11.971665084031702,73.63899989160927,-72.63402822850912
boundary_continuation_macd1_cross_recent_5_stop1.25_r1.2_h60_norisk,bottom_breakdown_short+top_breakout_long,cross_recent_5,1,1.25,1.2,60,False,63.84973129020234,5,59.85832542015851,1.5073416400357962,0.6,11.971665084031702,73.63899989160927,-72.63402822850912
boundary_continuation_macd1_cross_recent_5_stop1.25_r1.2_h60_risk,bottom_breakdown_short+top_breakout_long,cross_recent_5,1,1.25,1.2,60,True,63.84973129020234,5,59.85832542015851,1.5073416400357962,0.6,11.971665084031702,73.63899989160927,-72.63402822850912
boundary_continuation_macd1_cross_recent_5_stop1.25_r1.8_h30_norisk,bottom_breakdown_short+top_breakout_long,cross_recent_5,1,1.25,1.8,30,False,63.84973129020234,5,59.85832542015851,1.5073416400357962,0.6,11.971665084031702,73.63899989160927,-72.63402822850912
boundary_continuation_macd1_cross_recent_5_stop1.25_r1.8_h30_risk,bottom_breakdown_short+top_breakout_long,cross_recent_5,1,1.25,1.8,30,True,63.84973129020234,5,59.85832542015851,1.5073416400357962,0.6,11.971665084031702,73.63899989160927,-72.63402822850912
boundary_continuation_macd1_cross_recent_5_stop1.25_r1.8_h60_norisk,bottom_breakdown_short+top_breakout_long,cross_recent_5,1,1.25,1.8,60,False,63.84973129020234,5,59.85832542015851,1.5073416400357962,0.6,11.971665084031702,73.63899989160927,-72.63402822850912
boundary_continuation_macd1_cross_recent_5_stop1.25_r1.8_h60_risk,bottom_breakdown_short+top_breakout_long,cross_recent_5,1,1.25,1.8,60,True,63.84973129020234,5,59.85832542015851,1.5073416400357962,0.6,11.971665084031702,73.63899989160927,-72.63402822850912
boundary_continuation_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,bottom_breakdown_short+top_breakout_long,cross_recent_5,1,1.25,2.5,30,False,63.84973129020234,5,59.85832542015851,1.5073416400357962,0.6,11.971665084031702,73.63899989160927,-72.63402822850912
boundary_continuation_macd1_cross_recent_5_stop1.25_r2.5_h30_risk,bottom_breakdown_short+top_breakout_long,cross_recent_5,1,1.25,2.5,30,True,63.84973129020234,5,59.85832542015851,1.5073416400357962,0.6,11.971665084031702,73.63899989160927,-72.63402822850912
boundary_continuation_macd1_cross_recent_5_stop1.25_r2.5_h60_norisk,bottom_breakdown_short+top_breakout_long,cross_recent_5,1,1.25,2.5,60,False,63.84973129020234,5,59.85832542015851,1.5073416400357962,0.6,11.971665084031702,73.63899989160927,-72.63402822850912
boundary_continuation_macd1_cross_recent_5_stop1.25_r2.5_h60_risk,bottom_breakdown_short+top_breakout_long,cross_recent_5,1,1.25,2.5,60,True,63.84973129020234,5,59.85832542015851,1.5073416400357962,0.6,11.971665084031702,73.63899989160927,-72.63402822850912
phase_short_macd1_hist_deceleration_stop1.25_r1.2_h30_risk,phase_down_breakdown_short+phase_down_pullback_short,hist_deceleration,1,1.25,1.2,30,True,63.7788953132701,186,12.732946401436493,1.0076679943544056,0.478494623655914,0.0684567010829919,340.13696894359964,-86.15001208645481
smc_reversal_macd1_cross_recent_5_stop0.8_r2.5_h60_risk,smc_discount_choch_long+smc_premium_choch_short,cross_recent_5,1,0.8,2.5,60,True,63.66887115605684,112,23.65447086900531,1.0196400849162641,0.38392857142857145,0.21120063275897596,508.2070234312232,-72.55220598283631
long_bias_macd60_cross_recent_5_stop0.8_r2.5_h30_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long,cross_recent_5,60,0.8,2.5,30,False,63.649116985252945,7,38.970157604737324,1.7678090086758367,0.5714285714285714,5.567165372105332,39.37884630496774,-22.628846304967738
long_bias_macd60_cross_recent_5_stop0.8_r2.5_h30_risk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long,cross_recent_5,60,0.8,2.5,30,True,63.649116985252945,7,38.970157604737324,1.7678090086758367,0.5714285714285714,5.567165372105332,39.37884630496774,-22.628846304967738
smc_reversal_macd5_hist_repair_stop1.25_r1.8_h60_norisk,smc_discount_choch_long+smc_premium_choch_short,hist_repair,5,1.25,1.8,60,False,63.633791192249745,65,22.879923275071633,1.0290811935521484,0.4153846153846154,0.35199881961648666,191.60691677284922,-56.82305608483148
smc_reversal_macd5_hist_repair_stop1.25_r1.8_h60_risk,smc_discount_choch_long+smc_premium_choch_short,hist_repair,5,1.25,1.8,60,True,63.633791192249745,65,22.879923275071633,1.0290811935521484,0.4153846153846154,0.35199881961648666,191.60691677284922,-56.82305608483148
smc_long_bias_macd5_trend_stop0.8_r1.8_h30_norisk,smc_discount_choch_long+smc_bos_fvg_long+smc_ob_retest_long+smc_trend_transition_long+smc_trend_pullback_long,trend,5,0.8,1.8,30,False,63.63321037589873,539,37.67150412649062,1.007371234915281,0.4137291280148423,0.06989147333300672,769.6259290536,-80.56509663572433
smc_long_bias_macd5_trend_hist_stop0.8_r1.8_h30_norisk,smc_discount_choch_long+smc_bos_fvg_long+smc_ob_retest_long+smc_trend_transition_long+smc_trend_pullback_long,trend_hist,5,0.8,1.8,30,False,63.63321037589873,539,37.67150412649062,1.007371234915281,0.4137291280148423,0.06989147333300672,769.6259290536,-80.56509663572433
smc_long_bias_macd60_hist_repair_stop1.25_r1.8_h60_norisk,smc_discount_choch_long+smc_bos_fvg_long+smc_ob_retest_long+smc_trend_transition_long+smc_trend_pullback_long,hist_repair,60,1.25,1.8,60,False,63.50839109540499,33,52.296901868892746,1.1868777082735422,0.5151515151515151,1.584754602087659,135.13789177221406,-34.349855273540015
all_lightglow_macd1_hist_deceleration_stop1.25_r2.5_h60_risk,bottom_breakdown_short+top_breakout_long+bottom_reclaim_long+top_reject_short+trend_ignition_long+trend_ignition_short+trend_pullback_long+trend_pullback_short+trend_transition_long+trend_transition_short+reversal_impulse_long+reversal_impulse_short+fast_reversal_long+fast_reversal_short+phase_up_breakout_long+phase_up_pullback_long+phase_down_breakdown_short+phase_down_pullback_short,hist_deceleration,1,1.25,2.5,60,True,63.401501348360775,183,17.03232092426333,1.0096007557529025,0.44808743169398907,0.09307279193586519,445.0052546519946,-86.15001208645481
smc_bos_fvg_macd1_trend_stop1.25_r1.8_h60_norisk,smc_bos_fvg_long+smc_bos_fvg_short,trend,1,1.25,1.8,60,False,63.04155984188911,475,29.94013200849804,1.005094056554743,0.48210526315789476,0.06303185685999588,991.4030645176608,-142.95807761184187
smc_bos_fvg_macd1_trend_hist_stop1.25_r1.8_h60_norisk,smc_bos_fvg_long+smc_bos_fvg_short,trend_hist,1,1.25,1.8,60,False,63.04155984188911,475,29.94013200849804,1.005094056554743,0.48210526315789476,0.06303185685999588,991.4030645176608,-142.95807761184187
