candidate,signal,timeframe_minutes,session,holding_minutes,direction_mode,exit_profile,entry_ts,exit_ts,symbol,direction,entry_price,exit_price,exit_reason,gross_points,net_points,net_dollars,entry_index,exit_index,fold,fold_rank,test_pass,entry_date,month,position_size,adjusted_pnl,capital,risk_state
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 00:34:00+00:00,2022-10-26 00:36:00+00:00,NQZ2,-1,11454.75,11459.0,time,-4.25,-4.875,-97.5,532186,532188,2,1,True,2022-10-26 00:34:00+00:00,2022-10,10,-975.0,103650.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 00:45:00+00:00,2022-10-26 00:47:00+00:00,NQZ2,-1,11445.75,11446.75,time,-1.0,-1.625,-32.5,532197,532199,2,1,True,2022-10-26 00:45:00+00:00,2022-10,10,-325.0,103325.0,reduced
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 01:25:00+00:00,2022-10-26 01:27:00+00:00,NQZ2,-1,11452.75,11455.5,time,-2.75,-3.375,-67.5,532237,532239,2,1,True,2022-10-26 01:25:00+00:00,2022-10,5,-337.5,102987.5,reduced
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 01:32:00+00:00,2022-10-26 01:34:00+00:00,NQZ2,1,11471.5,11472.0,time,0.5,-0.125,-2.5,532244,532246,2,1,True,2022-10-26 01:32:00+00:00,2022-10,5,-12.5,102975.0,conservative
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 03:43:00+00:00,2022-10-26 03:45:00+00:00,NQZ2,-1,11485.25,11487.75,time,-2.5,-3.125,-62.5,532375,532377,2,1,True,2022-10-26 03:43:00+00:00,2022-10,2,-125.0,102850.0,conservative
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 04:31:00+00:00,2022-10-26 04:33:00+00:00,NQZ2,1,11501.25,11503.0,time,1.75,1.125,22.5,532423,532425,2,1,True,2022-10-26 04:31:00+00:00,2022-10,2,45.0,102895.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 05:02:00+00:00,2022-10-26 05:04:00+00:00,NQZ2,1,11499.5,11498.75,time,-0.75,-1.375,-27.5,532454,532456,2,1,True,2022-10-26 05:02:00+00:00,2022-10,10,-275.0,102620.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 05:04:00+00:00,2022-10-26 05:06:00+00:00,NQZ2,1,11499.0,11494.0,time,-5.0,-5.625,-112.5,532456,532458,2,1,True,2022-10-26 05:04:00+00:00,2022-10,10,-1125.0,101495.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 05:07:00+00:00,2022-10-26 05:09:00+00:00,NQZ2,-1,11487.75,11484.25,time,3.5,2.875,57.5,532459,532461,2,1,True,2022-10-26 05:07:00+00:00,2022-10,10,575.0,102070.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 05:51:00+00:00,2022-10-26 05:53:00+00:00,NQZ2,-1,11488.5,11481.0,time,7.5,6.875,137.5,532503,532505,2,1,True,2022-10-26 05:51:00+00:00,2022-10,10,1375.0,103445.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 06:11:00+00:00,2022-10-26 06:13:00+00:00,NQZ2,1,11500.75,11506.25,time,5.5,4.875,97.5,532523,532525,2,1,True,2022-10-26 06:11:00+00:00,2022-10,10,975.0,104420.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 06:58:00+00:00,2022-10-26 07:00:00+00:00,NQZ2,1,11496.75,11502.75,time,6.0,5.375,107.5,532570,532572,2,1,True,2022-10-26 06:58:00+00:00,2022-10,10,1075.0,105495.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 09:28:00+00:00,2022-10-26 09:30:00+00:00,NQZ2,-1,11514.25,11515.5,time,-1.25,-1.875,-37.5,532720,532722,2,1,True,2022-10-26 09:28:00+00:00,2022-10,10,-375.0,105120.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 10:34:00+00:00,2022-10-26 10:36:00+00:00,NQZ2,-1,11528.5,11527.75,time,0.75,0.125,2.5,532786,532788,2,1,True,2022-10-26 10:34:00+00:00,2022-10,10,25.0,105145.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 10:46:00+00:00,2022-10-26 10:48:00+00:00,NQZ2,1,11538.75,11534.5,time,-4.25,-4.875,-97.5,532798,532800,2,1,True,2022-10-26 10:46:00+00:00,2022-10,10,-975.0,104170.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 10:54:00+00:00,2022-10-26 10:56:00+00:00,NQZ2,-1,11530.5,11536.5,time,-6.0,-6.625,-132.5,532806,532808,2,1,True,2022-10-26 10:54:00+00:00,2022-10,10,-1325.0,102845.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 11:13:00+00:00,2022-10-26 11:15:00+00:00,NQZ2,-1,11508.0,11510.25,time,-2.25,-2.875,-57.5,532825,532827,2,1,True,2022-10-26 11:13:00+00:00,2022-10,10,-575.0,102270.0,reduced
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 11:25:00+00:00,2022-10-26 11:27:00+00:00,NQZ2,1,11538.5,11535.25,time,-3.25,-3.875,-77.5,532837,532839,2,1,True,2022-10-26 11:25:00+00:00,2022-10,5,-387.5,101882.5,reduced
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 11:29:00+00:00,2022-10-26 11:31:00+00:00,NQZ2,1,11537.25,11550.0,time,12.75,12.125,242.5,532841,532843,2,1,True,2022-10-26 11:29:00+00:00,2022-10,5,1212.5,103095.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 11:51:00+00:00,2022-10-26 11:53:00+00:00,NQZ2,-1,11510.25,11508.0,time,2.25,1.625,32.5,532863,532865,2,1,True,2022-10-26 11:51:00+00:00,2022-10,10,325.0,103420.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 12:05:00+00:00,2022-10-26 12:07:00+00:00,NQZ2,-1,11504.75,11509.0,time,-4.25,-4.875,-97.5,532877,532879,2,1,True,2022-10-26 12:05:00+00:00,2022-10,10,-975.0,102445.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 12:20:00+00:00,2022-10-26 12:22:00+00:00,NQZ2,-1,11508.75,11502.0,time,6.75,6.125,122.5,532892,532894,2,1,True,2022-10-26 12:20:00+00:00,2022-10,10,1225.0,103670.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 13:06:00+00:00,2022-10-26 13:08:00+00:00,NQZ2,-1,11505.5,11499.0,time,6.5,5.875,117.5,532938,532940,2,1,True,2022-10-26 13:06:00+00:00,2022-10,10,1175.0,104845.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 13:14:00+00:00,2022-10-26 13:16:00+00:00,NQZ2,-1,11509.25,11503.5,time,5.75,5.125,102.5,532946,532948,2,1,True,2022-10-26 13:14:00+00:00,2022-10,10,1025.0,105870.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 13:16:00+00:00,2022-10-26 13:18:00+00:00,NQZ2,-1,11503.25,11496.25,time,7.0,6.375,127.5,532948,532950,2,1,True,2022-10-26 13:16:00+00:00,2022-10,10,1275.0,107145.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 13:48:00+00:00,2022-10-26 13:50:00+00:00,NQZ2,1,11528.0,11515.25,time,-12.75,-13.375,-267.5,532980,532982,2,1,True,2022-10-26 13:48:00+00:00,2022-10,10,-2675.0,104470.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 13:53:00+00:00,2022-10-26 13:55:00+00:00,NQZ2,-1,11507.25,11510.5,time,-3.25,-3.875,-77.5,532985,532987,2,1,True,2022-10-26 13:53:00+00:00,2022-10,10,-775.0,103695.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 13:56:00+00:00,2022-10-26 13:58:00+00:00,NQZ2,-1,11503.75,11480.75,time,23.0,22.375,447.5,532988,532990,2,1,True,2022-10-26 13:56:00+00:00,2022-10,10,4475.0,108170.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 14:00:00+00:00,2022-10-26 14:02:00+00:00,NQZ2,1,11541.75,11530.0,time,-11.75,-12.375,-247.5,532992,532994,2,1,True,2022-10-26 14:00:00+00:00,2022-10,10,-2475.0,105695.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 14:02:00+00:00,2022-10-26 14:04:00+00:00,NQZ2,1,11530.75,11519.5,time,-11.25,-11.875,-237.5,532994,532996,2,1,True,2022-10-26 14:02:00+00:00,2022-10,10,-2375.0,103320.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 14:07:00+00:00,2022-10-26 14:09:00+00:00,NQZ2,1,11537.75,11530.5,time,-7.25,-7.875,-157.5,532999,533001,2,1,True,2022-10-26 14:07:00+00:00,2022-10,10,-1575.0,101745.0,reduced
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 14:11:00+00:00,2022-10-26 14:13:00+00:00,NQZ2,1,11530.25,11553.25,time,23.0,22.375,447.5,533003,533005,2,1,True,2022-10-26 14:11:00+00:00,2022-10,5,2237.5,103982.5,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 16:33:00+00:00,2022-10-26 16:35:00+00:00,NQZ2,-1,11651.5,11641.25,time,10.25,9.625,192.5,533145,533147,2,1,True,2022-10-26 16:33:00+00:00,2022-10,10,1925.0,105907.5,normal
